customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
1,Camila,González,camila.gonzález1@email.com,+1 957-380-2296,1973-01-19,La Plata,Colombia,21647,Gold,2023-07-22,2024-07-15,true,1
2,Pedro,López,pedro.lópez2@email.com,+1 688-376-5372,2002-07-21,Santa Fe,Uruguay,32703,Platinum,2023-03-12,2024-06-21,true,0
3,Juan,Sánchez,juan.sánchez3@email.com,+1 396-865-8846,1997-06-15,Córdoba,Uruguay,70750,Silver,2021-06-12,2024-09-01,true,1
4,Mateo,Fernández,mateo.fernández4@email.com,+1 719-342-5240,1976-10-27,Salta,Colombia,23057,Gold,2024-03-18,2025-04-28,true,0
5,Diego,González,diego.gonzález5@email.com,+1 763-379-9361,1986-04-10,Santa Fe,Chile,25846,Bronze,2021-02-06,2021-12-26,true,1
6,Camila,García,camila.garcía6@email.com,+1 631-353-4020,1986-07-07,Buenos Aires,Argentina,34358,Platinum,2020-03-08,2025-11-28,true,1
7,Camila,López,camila.lópez7@email.com,+1 446-352-7373,1960-12-12,Rosario,Chile,44241,Platinum,2022-07-14,2023-10-04,false,1
8,Sofía,Sánchez,sofía.sánchez8@email.com,+1 211-764-8190,1976-07-07,Mendoza,Uruguay,66916,Gold,2023-10-06,2024-09-25,true,1
9,Diego,Fernández,diego.fernández9@email.com,+1 982-263-5374,1999-04-02,Mendoza,México,43259,Gold,2021-03-07,2024-06-14,true,1
10,Sofía,Fernández,sofía.fernández10@email.com,+1 359-696-6525,1977-11-28,Buenos Aires,Argentina,35597,Silver,2023-07-19,2023-08-16,true,1
11,Diego,Sánchez,diego.sánchez11@email.com,+1 983-647-7756,1969-12-18,Córdoba,Argentina,10333,Silver,2022-07-18,2022-07-29,true,1
12,Martín,Martínez,martín.martínez12@email.com,+1 234-889-2507,2005-10-26,Neuquén,Argentina,38861,Platinum,2020-03-08,2024-04-23,true,1
13,Diego,Torres,diego.torres13@email.com,+1 584-827-5408,1997-11-02,Córdoba,Colombia,12411,Gold,2021-07-13,2022-02-09,false,0
14,Ana,González,ana.gonzález14@email.com,+1 333-585-9161,1962-05-28,Salta,Perú,12904,Bronze,2022-04-29,2024-04-25,false,1
15,Sofía,Fernández,sofía.fernández15@email.com,+1 540-570-6616,1976-12-13,Córdoba,Colombia,51519,Silver,2023-12-23,2024-11-04,true,0
16,Laura,Sánchez,laura.sánchez16@email.com,+1 752-558-8223,1970-07-29,Mendoza,Colombia,15906,Gold,2020-07-28,2021-09-23,true,1
17,Sofía,Fernández,sofía.fernández17@email.com,+1 792-564-9114,1997-05-23,Santa Fe,Argentina,31439,Gold,2022-12-25,2024-05-08,true,1
18,Ana,González,ana.gonzález18@email.com,+1 907-640-4925,1964-01-23,Neuquén,Perú,92678,Silver,2021-08-17,2022-03-10,true,0
19,Diego,Rodríguez,diego.rodríguez19@email.com,+1 821-199-1592,1986-01-13,Salta,Argentina,43926,Silver,2023-11-27,2025-12-01,true,0
20,María,Pérez,maría.pérez20@email.com,+1 264-181-6411,1960-01-29,Rosario,Argentina,92371,Platinum,2020-08-08,2021-02-03,true,1
21,Lucas,García,lucas.garcía21@email.com,+1 531-429-6455,1991-11-25,Tucumán,Argentina,82506,Bronze,2021-02-12,2024-01-09,true,0
22,María,García,maría.garcía22@email.com,+1 546-365-3887,1995-09-06,Córdoba,Argentina,22307,Bronze,2023-11-10,2024-05-11,true,0
23,Laura,Martínez,laura.martínez23@email.com,+1 873-449-7738,1978-04-15,Santa Fe,Argentina,47019,Silver,2021-09-03,2025-10-10,false,0
24,Martín,Ramírez,martín.ramírez24@email.com,+1 971-423-8445,1999-12-04,Buenos Aires,México,52648,Silver,2024-01-21,2024-11-16,false,1
25,María,Martínez,maría.martínez25@email.com,+1 444-194-1590,1986-06-21,Rosario,México,12338,Bronze,2024-01-19,2025-11-15,false,1
26,Sofía,Torres,sofía.torres26@email.com,+1 634-900-5660,1969-12-27,Salta,México,31970,Gold,2020-09-14,2021-08-19,true,1
27,Lucía,Ramírez,lucía.ramírez27@email.com,+1 229-539-3511,1960-03-08,Rosario,Perú,68002,Platinum,2022-02-16,2025-04-11,false,1
28,Sofía,Pérez,sofía.pérez28@email.com,+1 830-345-6988,1984-08-14,Neuquén,Uruguay,22396,Silver,2021-04-15,2024-03-26,false,1
29,Carlos,Pérez,carlos.pérez29@email.com,+1 663-982-2577,1994-02-24,Tucumán,Colombia,51356,Platinum,2022-12-14,2023-06-09,false,1
30,María,Pérez,maría.pérez30@email.com,+1 402-206-6160,1963-08-24,La Plata,Chile,68044,Bronze,2024-03-15,2024-11-10,true,1
31,Camila,González,camila.gonzález31@email.com,+1 428-267-3561,2001-03-20,Neuquén,México,73793,Silver,2024-03-14,2024-04-22,true,0
32,Diego,González,diego.gonzález32@email.com,+1 546-977-3742,1984-05-08,Santa Fe,Argentina,74537,Gold,2020-02-01,2020-04-23,true,1
33,Juan,González,juan.gonzález33@email.com,+1 423-787-2320,1973-03-31,Santa Fe,Perú,47452,Silver,2024-03-17,2025-10-26,true,1
